Molecule,Group,Conformer,Atom_Index,F_Isotropic_ppm,F_Anisotropy_ppm
32,Group1_100Aq,conf_13,5,295.192,131.473
32,Group1_100Aq,conf_13,11,320.433,128.564
32,Group1_100Aq,conf_13,13,268.003,83.064
32,Group1_100Aq,conf_14,5,295.179,131.464
32,Group1_100Aq,conf_14,11,320.423,128.612
32,Group1_100Aq,conf_14,13,268.003,83.072
32,Group1_100Aq,conf_15,5,294.674,139.53
32,Group1_100Aq,conf_15,11,320.3,129.091
32,Group1_100Aq,conf_15,13,267.896,83.172
32,Group1_100Aq,conf_16,5,294.664,139.605
32,Group1_100Aq,conf_16,11,320.215,129.196
32,Group1_100Aq,conf_16,13,267.883,83.16
32,Group1_100Aq,conf_17,5,296.215,131.071
32,Group1_100Aq,conf_17,11,318.302,120.16
32,Group1_100Aq,conf_17,13,267.756,82.908
32,Group1_100Aq,conf_18,5,294.742,139.642
32,Group1_100Aq,conf_18,11,320.389,128.924
32,Group1_100Aq,conf_18,13,267.908,83.197
32,Group1_100Aq,conf_19,5,296.19,131.211
32,Group1_100Aq,conf_19,11,318.208,120.153
32,Group1_100Aq,conf_19,13,267.773,82.905
32,Group1_100Aq,conf_20,5,295.655,139.034
32,Group1_100Aq,conf_20,11,318.121,120.457
32,Group1_100Aq,conf_20,13,267.644,82.988
32,Group1_100Aq,conf_21,5,294.753,132.452
32,Group1_100Aq,conf_21,11,320.722,128.044
32,Group1_100Aq,conf_21,13,267.489,83.114
32,Group1_100Aq,conf_22,5,294.69,139.762
32,Group1_100Aq,conf_22,11,320.344,129.108
32,Group1_100Aq,conf_22,13,267.899,83.202
32,Group1_100Aq,conf_23,5,294.783,139.526
32,Group1_100Aq,conf_23,11,320.387,128.936
32,Group1_100Aq,conf_23,13,267.905,83.191
32,Group1_100Aq,conf_24,5,294.744,132.55
32,Group1_100Aq,conf_24,11,320.694,128.072
32,Group1_100Aq,conf_24,13,267.457,83.019
32,Group1_100Aq,conf_25,5,294.566,132.761
32,Group1_100Aq,conf_25,11,320.628,127.969
32,Group1_100Aq,conf_25,13,267.393,83.063
32,Group1_100Aq,conf_27,5,294.85,133.851
32,Group1_100Aq,conf_27,11,320.883,127.62
32,Group1_100Aq,conf_27,13,267.808,82.633
32,Group1_100Aq,conf_28,5,294.889,133.736
32,Group1_100Aq,conf_28,11,320.892,127.769
32,Group1_100Aq,conf_28,13,267.878,82.646
32,Group2_80-20,conf_01,5,294.765,135.215
32,Group2_80-20,conf_01,11,320.082,129.369
32,Group2_80-20,conf_01,13,267.48,83.705
32,Group2_80-20,conf_02,5,294.713,133.768
32,Group2_80-20,conf_02,11,320.2,128.793
32,Group2_80-20,conf_02,13,267.53,83.63
32,Group2_80-20,conf_03,5,295.211,131.343
32,Group2_80-20,conf_03,11,320.496,128.445
32,Group2_80-20,conf_03,13,268.013,83.156
32,Group2_80-20,conf_04,5,294.685,139.599
32,Group2_80-20,conf_04,11,320.363,129.063
32,Group2_80-20,conf_04,13,267.877,83.211
32,Group2_80-20,conf_05,5,294.721,139.373
32,Group2_80-20,conf_05,11,320.402,128.982
32,Group2_80-20,conf_05,13,267.883,83.188
32,Group2_80-20,conf_06,5,295.221,131.328
32,Group2_80-20,conf_06,11,320.486,128.421
32,Group2_80-20,conf_06,13,268.019,83.199
32,Group2_80-20,conf_07,5,294.709,139.415
32,Group2_80-20,conf_07,11,320.364,129.032
32,Group2_80-20,conf_07,13,267.91,83.165
32,Group2_80-20,conf_08,5,295.203,131.403
32,Group2_80-20,conf_08,11,320.468,128.488
32,Group2_80-20,conf_08,13,267.994,83.099
32,Group2_80-20,conf_09,5,292.483,124.839
32,Group2_80-20,conf_09,11,321.149,128.721
32,Group2_80-20,conf_09,13,268.483,82.793
32,Group2_80-20,conf_10,5,292.313,128.305
32,Group2_80-20,conf_10,11,321.009,129.092
32,Group2_80-20,conf_10,13,268.37,82.909
32,Group2_80-20,conf_11,5,295.194,131.447
32,Group2_80-20,conf_11,11,320.485,128.496
32,Group2_80-20,conf_11,13,267.987,83.088
32,Group2_80-20,conf_12,5,295.109,131.186
32,Group2_80-20,conf_12,11,320.326,128.735
32,Group2_80-20,conf_12,13,268.001,83.155
32,Group2_80-20,conf_13,5,295.183,131.492
32,Group2_80-20,conf_13,11,320.434,128.557
32,Group2_80-20,conf_13,13,267.992,83.089
32,Group2_80-20,conf_14,5,295.169,131.483
32,Group2_80-20,conf_14,11,320.423,128.605
32,Group2_80-20,conf_14,13,267.993,83.098
32,Group2_80-20,conf_15,5,294.677,139.533
32,Group2_80-20,conf_15,11,320.285,129.088
32,Group2_80-20,conf_15,13,267.876,83.202
32,Group2_80-20,conf_16,5,294.655,139.614
32,Group2_80-20,conf_16,11,320.215,129.19
32,Group2_80-20,conf_16,13,267.872,83.186
32,Group2_80-20,conf_17,5,296.204,131.09
32,Group2_80-20,conf_17,11,318.302,120.153
32,Group2_80-20,conf_17,13,267.745,82.936
32,Group2_80-20,conf_18,5,294.733,139.653
32,Group2_80-20,conf_18,11,320.388,128.919
32,Group2_80-20,conf_18,13,267.898,83.222
32,Group2_80-20,conf_19,5,296.18,131.229
32,Group2_80-20,conf_19,11,318.208,120.147
32,Group2_80-20,conf_19,13,267.762,82.931
32,Group2_80-20,conf_20,5,295.646,139.045
