Exp_Compound,Comp_Model,Reporter,Atoms_Tracked,GLS_Type,Group,Epsilon,Conformer,Gibbs_Hartree,DeltaG_kcal_mol,Boltzmann_Weight,F_Shielding_ppm,Sigma_avg_ppm
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_11,-1499.37175128,0.063673,0.04252880,295.204,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_12,-1499.37175923,0.058685,0.04288841,295.119,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_13,-1499.37175705,0.060053,0.04278950,295.192,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_14,-1499.37176060,0.057825,0.04295068,295.179,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_15,-1499.37182065,0.020143,0.04577108,294.674,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_16,-1499.37180879,0.027585,0.04519974,294.664,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_17,-1499.37107908,0.485485,0.02086859,296.215,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_18,-1499.37173253,0.075439,0.04169258,294.742,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_19,-1499.37099917,0.535629,0.01917508,296.190,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_20,-1499.37107471,0.488227,0.02077223,295.655,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_21,-1499.37147734,0.235573,0.03181850,294.753,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_22,-1499.37176334,0.056106,0.04307551,294.690,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_23,-1499.37179552,0.035912,0.04456892,294.783,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_24,-1499.37150813,0.216252,0.03287321,294.744,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_25,-1499.37149105,0.226970,0.03228389,294.566,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_27,-1499.37153541,0.199134,0.03383686,294.850,294.857406
22,32,F-3,[5],aromatic,Group1_100Aq,78.3,conf_28,-1499.37140103,0.283458,0.02934807,294.889,294.857406
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_01,-1499.37174705,0.054060,0.04319857,294.765,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_02,-1499.37173334,0.062663,0.04257584,294.713,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_03,-1499.37171369,0.074994,0.04169893,295.211,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_04,-1499.37182874,0.002799,0.04710252,294.685,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_05,-1499.37183320,0.000000,0.04732554,294.721,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_06,-1499.37173523,0.061477,0.04266115,295.221,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_07,-1499.37173607,0.060950,0.04269912,294.709,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_08,-1499.37173440,0.061998,0.04262367,295.203,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_09,-1499.37096746,0.543260,0.01891836,292.483,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_10,-1499.37095237,0.552729,0.01861841,292.313,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_11,-1499.37173217,0.063397,0.04252312,295.194,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_12,-1499.37174021,0.058352,0.04288676,295.109,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_13,-1499.37173775,0.059896,0.04277517,295.183,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_14,-1499.37174132,0.057656,0.04293721,295.169,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_15,-1499.37180797,0.015832,0.04607768,294.677,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_16,-1499.37178949,0.027428,0.04518460,294.655,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_17,-1499.37105984,0.485290,0.02086293,296.204,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_18,-1499.37171352,0.075100,0.04169142,294.733,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_19,-1499.37098017,0.535284,0.01917475,296.180,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_20,-1499.37105533,0.488120,0.02076351,295.646,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_21,-1499.37145811,0.235372,0.03181020,294.755,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_22,-1499.37174423,0.055829,0.04306974,294.682,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_23,-1499.37177610,0.035831,0.04454833,294.774,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_24,-1499.37148839,0.216371,0.03284689,294.748,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_25,-1499.37147150,0.226970,0.03226453,294.565,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_27,-1499.37151593,0.199090,0.03381908,294.841,294.851192
22,32,F-3,[5],aromatic,Group2_80-20,69.18,conf_28,-1499.37138185,0.283226,0.02934197,294.880,294.851192
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_01,-1499.37172209,0.053790,0.04319428,294.770,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_02,-1499.37170879,0.062136,0.04259010,294.716,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_03,-1499.37168901,0.074548,0.04170715,295.197,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_04,-1499.37180353,0.002686,0.04708537,294.673,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_05,-1499.37180781,0.000000,0.04729929,294.709,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_06,-1499.37171115,0.060655,0.04269669,295.206,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_07,-1499.37171113,0.060668,0.04269579,294.696,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_08,-1499.37170958,0.061640,0.04262575,295.190,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_09,-1499.37094366,0.542262,0.01893973,292.498,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_10,-1499.37092779,0.552220,0.01862405,292.317,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_11,-1499.37170730,0.063071,0.04252294,295.181,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_12,-1499.37171535,0.058019,0.04288704,295.097,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_13,-1499.37171276,0.059645,0.04276956,295.170,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_14,-1499.37171631,0.057417,0.04293067,295.156,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_15,-1499.37178285,0.015663,0.04606530,294.666,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_16,-1499.37176455,0.027146,0.04518106,294.644,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_17,-1499.37103479,0.485077,0.02085887,296.191,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_18,-1499.37168843,0.074912,0.04168154,294.722,294.841342
